,precision,recall,f1-score,support
Akarna_Dhanurasana,0.6666666666666666,1.0,0.8,8.0
Bharadvajas_Twist_pose_or_Bharadvajasana_I_,0.5454545454545454,0.6666666666666666,0.6,9.0
Boat_Pose_or_Paripurna_Navasana_,0.8064516129032258,1.0,0.8928571428571429,25.0
Bound_Angle_Pose_or_Baddha_Konasana_,0.88,0.8461538461538461,0.8627450980392157,26.0
Bow_Pose_or_Dhanurasana_,0.8636363636363636,1.0,0.926829268292683,19.0
Bridge_Pose_or_Setu_Bandha_Sarvangasana_,0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0
Camel_Pose_or_Ustrasana_,1.0,0.9090909090909091,0.9523809523809523,33.0
Cat_Cow_Pose_or_Marjaryasana_,1.0,0.8125,0.896551724137931,16.0
Chair_Pose_or_Utkatasana_,0.8518518518518519,0.8846153846153846,0.8679245283018868,26.0
Child_Pose_or_Balasana_,0.7666666666666667,0.9583333333333334,0.8518518518518519,24.0
Cobra_Pose_or_Bhujangasana_,0.7333333333333333,0.8461538461538461,0.7857142857142857,13.0
Cockerel_Pose,0.75,0.46153846153846156,0.5714285714285714,13.0
Corpse_Pose_or_Savasana_,0.8461538461538461,0.9565217391304348,0.8979591836734694,23.0
Cow_Face_Pose_or_Gomukhasana_,0.9,0.782608695652174,0.8372093023255814,23.0
Crane_(Crow)_Pose_or_Bakasana_,0.75,0.3333333333333333,0.46153846153846156,9.0
Dolphin_Plank_Pose_or_Makara_Adho_Mukha_Svanasana_,1.0,1.0,1.0,3.0
Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana_,0.875,1.0,0.9333333333333333,21.0
Eagle_Pose_or_Garudasana_,0.7619047619047619,0.9411764705882353,0.8421052631578947,17.0
Eight-Angle_Pose_or_Astavakrasana_,0.7857142857142857,0.8461538461538461,0.8148148148148148,13.0
Extended_Puppy_Pose_or_Uttana_Shishosana_,1.0,1.0,1.0,5.0
Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,0.9310344827586207,1.0,0.9642857142857143,27.0
Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1.0,0.9545454545454546,0.9767441860465116,22.0
Feathered_Peacock_Pose_or_Pincha_Mayurasana_,0.9565217391304348,0.9565217391304348,0.9565217391304348,23.0
Firefly_Pose_or_Tittibhasana_,0.9130434782608695,0.9545454545454546,0.9333333333333333,22.0
Fish_Pose_or_Matsyasana_,0.9166666666666666,0.5789473684210527,0.7096774193548387,19.0
Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana_,0.8421052631578947,1.0,0.9142857142857143,16.0
Frog_Pose_or_Bhekasana,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
Garland_Pose_or_Malasana_,0.8,0.8333333333333334,0.8163265306122449,24.0
Gate_Pose_or_Parighasana_,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana_,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
Half_Moon_Pose_or_Ardha_Chandrasana_,0.8928571428571429,0.9259259259259259,0.9090909090909091,27.0
Handstand_pose_or_Adho_Mukha_Vrksasana_,0.5769230769230769,0.7894736842105263,0.6666666666666666,19.0
Happy_Baby_Pose_or_Ananda_Balasana_,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
Head-to-Knee_Forward_Bend_pose_or_Janu_Sirsasana_,0.8,0.7058823529411765,0.75,17.0
Heron_Pose_or_Krounchasana_,0.7333333333333333,0.7857142857142857,0.7586206896551724,14.0
Intense_Side_Stretch_Pose_or_Parsvottanasana_,1.0,0.6875,0.8148148148148148,16.0
Legs-Up-the-Wall_Pose_or_Viparita_Karani_,0.95,0.95,0.95,20.0
Locust_Pose_or_Salabhasana_,0.9444444444444444,0.8095238095238095,0.8717948717948718,21.0
Lord_of_the_Dance_Pose_or_Natarajasana_,0.9142857142857143,0.9696969696969697,0.9411764705882353,33.0
Low_Lunge_pose_or_Anjaneyasana_,0.9032258064516129,0.9655172413793104,0.9333333333333333,29.0
Noose_Pose_or_Pasasana_,0.8,1.0,0.8888888888888888,4.0
Peacock_Pose_or_Mayurasana_,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
Pigeon_Pose_or_Kapotasana_,1.0,1.0,1.0,6.0
Plank_Pose_or_Kumbhakasana_,0.8888888888888888,1.0,0.9411764705882353,8.0
Plow_Pose_or_Halasana_,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II,0.7333333333333333,0.7857142857142857,0.7586206896551724,14.0
Rajakapotasana,0.9047619047619048,0.7307692307692307,0.8085106382978723,26.0
Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana_,0.9,0.6,0.72,15.0
Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana_,0.6551724137931034,0.95,0.7755102040816326,20.0
Scale_Pose_or_Tolasana_,0.8,0.9230769230769231,0.8571428571428571,13.0
Scorpion_pose_or_vrischikasana,1.0,0.4166666666666667,0.5882352941176471,12.0
Seated_Forward_Bend_pose_or_Paschimottanasana_,0.5833333333333334,0.5,0.5384615384615384,14.0
Shoulder-Pressing_Pose_or_Bhujapidasana_,0.8571428571428571,0.6666666666666666,0.75,9.0
Side-Reclining_Leg_Lift_pose_or_Anantasana_,1.0,1.0,1.0,5.0
Side_Crane_(Crow)_Pose_or_Parsva_Bakasana_,0.6190476190476191,0.7222222222222222,0.6666666666666666,18.0
Side_Plank_Pose_or_Vasisthasana_,0.8333333333333334,0.9722222222222222,0.8974358974358975,36.0
Sitting pose 1 (normal),0.8125,0.7428571428571429,0.7761194029850746,35.0
Split pose,0.6071428571428571,0.4594594594594595,0.5230769230769231,37.0
Staff_Pose_or_Dandasana_,0.7777777777777778,1.0,0.875,7.0
Standing_Forward_Bend_pose_or_Uttanasana_,0.8918918918918919,0.8918918918918919,0.8918918918918919,37.0
Standing_Split_pose_or_Urdhva_Prasarita_Eka_Padasana_,0.7777777777777778,0.5833333333333334,0.6666666666666666,12.0
Standing_big_toe_hold_pose_or_Utthita_Padangusthasana,0.8947368421052632,0.8095238095238095,0.85,21.0
Supported_Headstand_pose_or_Salamba_Sirsasana_,0.8076923076923077,0.8076923076923077,0.8076923076923077,26.0
Supported_Shoulderstand_pose_or_Salamba_Sarvangasana_,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
Supta_Baddha_Konasana_,0.8888888888888888,0.8275862068965517,0.8571428571428571,29.0
Supta_Virasana_Vajrasana,0.8787878787878788,0.90625,0.8923076923076924,32.0
Tortoise_Pose,0.4,0.26666666666666666,0.32,15.0
Tree_Pose_or_Vrksasana_,0.9285714285714286,0.9285714285714286,0.9285714285714286,28.0
Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana_,0.8571428571428571,0.96,0.9056603773584906,25.0
Upward_Facing_Two-Foot_Staff_Pose_or_Dwi_Pada_Viparita_Dandasana_,1.0,0.625,0.7692307692307693,8.0
Upward_Plank_Pose_or_Purvottanasana_,0.9090909090909091,1.0,0.9523809523809523,20.0
Virasana_or_Vajrasana,0.8695652173913043,0.8333333333333334,0.851063829787234,24.0
Warrior_III_Pose_or_Virabhadrasana_III_,0.7619047619047619,0.8,0.7804878048780488,20.0
Warrior_II_Pose_or_Virabhadrasana_II_,1.0,1.0,1.0,29.0
Warrior_I_Pose_or_Virabhadrasana_I_,1.0,0.7916666666666666,0.8837209302325582,24.0
Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana_,0.2,0.21739130434782608,0.20833333333333334,23.0
Wide-Legged_Forward_Bend_pose_or_Prasarita_Padottanasana_,0.7407407407407407,0.9090909090909091,0.8163265306122449,22.0
Wild_Thing_pose_or_Camatkarasana_,0.9,0.8181818181818182,0.8571428571428571,22.0
Wind_Relieving_pose_or_Pawanmuktasana,0.8823529411764706,0.9375,0.9090909090909091,16.0
Yogic_sleep_pose,0.5555555555555556,0.5555555555555556,0.5555555555555556,9.0
viparita_virabhadrasana_or_reverse_warrior_pose,1.0,0.9411764705882353,0.9696969696969697,17.0
accuracy,0.8372837924407431,0.8372837924407431,0.8372837924407431,0.8372837924407431
macro avg,0.8372265806915647,0.8273876454575563,0.8237833240762651,1561.0
weighted avg,0.8429180756842248,0.8372837924407431,0.8335617006500209,1561.0
